IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.27.68.181,443,443,TRUE,NRT,Asia Pacific,Tokyo,78,20.71
104.27.7.188,443,443,TRUE,NRT,Asia Pacific,Tokyo,142,21.71
162.159.38.41,443,443,TRUE,NRT,Asia Pacific,Tokyo,81,22.71
104.27.17.42,443,443,TRUE,NRT,Asia Pacific,Tokyo,112,23.71
104.27.113.85,443,443,TRUE,NRT,Asia Pacific,Tokyo,78,24.71
104.27.22.74,443,443,TRUE,NRT,Asia Pacific,Tokyo,128,25.71
104.27.23.213,443,443,TRUE,NRT,Asia Pacific,Tokyo,109,26.71
104.27.16.204,443,443,TRUE,LHR,Europe,London,164,27.71
104.27.19.144,443,443,TRUE,NRT,Asia Pacific,Tokyo,101,28.71
104.27.116.191,443,443,TRUE,NRT,Asia Pacific,Tokyo,77,29.71
